nama_file,url_sumber
dot_minimal,https://img.icons8.com/ios-filled/100/ffffff/record.png
cross_classic,https://img.icons8.com/ios-filled/100/ffffff/crosshair.png
box_hollow,https://img.icons8.com/ios-filled/100/ffffff/unchecked-checkbox.png
target_concentric,https://img.icons8.com/ios-filled/100/ffffff/center-of-gravity.png
accuracy_optic,https://img.icons8.com/ios-filled/100/ffffff/accuracy--v1.png
plus_classic,https://img.icons8.com/ios-filled/100/ffffff/plus-math.png
triangle_apex,https://img.icons8.com/ios-filled/100/ffffff/up-squared.png
target_bullseye,https://img.icons8.com/ios-filled/100/ffffff/target.png
aim_center,https://img.icons8.com/ios-filled/100/ffffff/aim.png
radar_grid,https://img.icons8.com/ios-filled/100/ffffff/radar.png
laser_sight,https://img.icons8.com/ios-filled/100/ffffff/laser.png
compass_target,https://img.icons8.com/ios-filled/100/ffffff/compass.png
viewfinder_box,https://img.icons8.com/ios-filled/100/ffffff/viewfinder.png
scan_target,https://img.icons8.com/ios-filled/100/ffffff/bar-code.png
star_reticle,https://img.icons8.com/ios-filled/100/ffffff/star.png
hexagon_frame,https://img.icons8.com/ios-filled/100/ffffff/hexagon.png
octagon_sight,https://img.icons8.com/ios-filled/100/ffffff/octagon.png
shield_reticle,https://img.icons8.com/ios-filled/100/ffffff/shield.png
diamond_rhombus,https://img.icons8.com/ios-filled/100/ffffff/rhombus.png
pointer_cursor,https://img.icons8.com/ios-filled/100/ffffff/cursor.png
scope_circle,https://img.icons8.com/ios-filled/100/ffffff/circled.png
cross_thin,https://img.icons8.com/ios-filled/100/ffffff/multiply.png
target_lock,https://img.icons8.com/ios-filled/100/ffffff/lock.png
focus_point,https://img.icons8.com/ios-filled/100/ffffff/focus.png
optic_ring,https://img.icons8.com/ios-filled/100/ffffff/ellipse.png
sniper_angle,https://img.icons8.com/ios-filled/100/ffffff/angle.png
tactical_cube,https://img.icons8.com/ios-filled/100/ffffff/cube.png
hazard_aim,https://img.icons8.com/ios-filled/100/ffffff/disclaimer.png
surveillance_cam,https://img.icons8.com/ios-filled/100/ffffff/cctv.png
satellite_dish,https://img.icons8.com/ios-filled/100/ffffff/satellite.png
